name,link,image
lsauto,https://www.meroauto.com/car_brand/lsauto/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2025/03/LS-Auto-Logo.jpg&w=350&h=250
neta-auto,https://www.meroauto.com/car_brand/neta-auto/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/NETA.jpg&w=350&h=250
omada-jaecoo,https://www.meroauto.com/car_brand/omada-jaecoo/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/OMODA-JAECOO.jpg&w=350&h=250
gac-aion,https://www.meroauto.com/car_brand/gac-aion/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/AION-1.jpg&w=350&h=250
leapmotor,https://www.meroauto.com/car_brand/leapmotor/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/Leap-Motor-Logo.jpg&w=350&h=250
changan-motors,https://www.meroauto.com/car_brand/changan-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/CHANGAN.jpg&w=350&h=250
chery-motors,https://www.meroauto.com/car_brand/chery-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/CHERY-Logo.jpg&w=350&h=250
great-wall-motors,https://www.meroauto.com/car_brand/great-wall-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/GMW.jpg&w=350&h=250
seres-ev,https://www.meroauto.com/car_brand/seres-ev/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/SERES-Logo.png&w=350&h=250
build-your-dream,https://www.meroauto.com/car_brand/build-your-dream/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/09/BYD-Logo.jpg&w=350&h=250
citroen-shangrila,https://www.meroauto.com/car_brand/citroen-shangrila/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/Citroen-Logo.png&w=350&h=250
kia-motors,https://www.meroauto.com/car_brand/kia-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2021/09/kia-logo.jpg&w=350&h=250
nissan,https://www.meroauto.com/car_brand/nissan/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2021/09/Nissan-Logo.png&w=350&h=250
mg,https://www.meroauto.com/car_brand/mg/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/09/MG-New-Logo.jpg&w=350&h=250
renault,https://www.meroauto.com/car_brand/renault/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/Renault-Logo.png&w=350&h=250
maruti-suzuki,https://www.meroauto.com/car_brand/maruti-suzuki/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2019/12/suzuki-logo-5311518DD9-seeklogo.com_-1.png&w=350&h=250
ford,https://www.meroauto.com/car_brand/ford/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2019/12/ford-1.png&w=350&h=250
hyundai,https://www.meroauto.com/car_brand/hyundai/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2019/12/Hyundai_2-1.png&w=350&h=250
mahindra,https://www.meroauto.com/car_brand/mahindra/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/Mahindra_Logo-new.png&w=350&h=250
tata,https://www.meroauto.com/car_brand/tata/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2019/12/tata-1.png&w=350&h=250
toyota,https://www.meroauto.com/car_brand/toyota/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2019/12/toyota-logo-3A02221675-seeklogo.com_.png&w=350&h=250
