name,link,image,address,phone1,phone2,email,website
lsauto,https://www.meroauto.com/car_brand/lsauto/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2025/03/LS-Auto-Logo.jpg&w=350&h=250,"Baluwatar, Kathmandu, Nepal",970-5110021,22,info@lsautonepal.com,https://lsautonepal.com/
neta-auto,https://www.meroauto.com/car_brand/neta-auto/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/NETA.jpg&w=350&h=250,"Thapathali, Kathmandu, Nepal",+977 9820105055,,info@cgmotors.com.np,https://cg-ev.com/passenger-segment
omada-jaecoo,https://www.meroauto.com/car_brand/omada-jaecoo/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/OMODA-JAECOO.jpg&w=350&h=250,"Uttardhoka, Kathmandu, Nepal",977 980-1142993,,Info@omodanepal.com,https://omodanepal.com/
gac-aion,https://www.meroauto.com/car_brand/gac-aion/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/AION-1.jpg&w=350&h=250,"Thapathali, Kathmandu, Nepal",+977 980 237 5636 or +977 980 237 5646,,gac@cgmotors.com.np,	www.gac.cgmotors.com.np
leapmotor,https://www.meroauto.com/car_brand/leapmotor/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/11/Leap-Motor-Logo.jpg&w=350&h=250,"Thapathali, Kathmandu",9801125873,9801125886,N/A,https://www.leapmotornepal.com/
changan-motors,https://www.meroauto.com/car_brand/changan-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/CHANGAN.jpg&w=350&h=250,"MAW Vriddhi Autocorp Pvt. Ltd. Naxal, Kathmandu","+977 9802340591,9802340592,9802305336",,info@changanepal.com,https://changannepal.com/
chery-motors,https://www.meroauto.com/car_brand/chery-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/CHERY-Logo.jpg&w=350&h=250,"SPG Automobiles Pvt Ltd, Thapathali, Kathmandu, Nepal","9801235298, 980-1129373,980-1205546""",,info@chery.com.np,https://www.chery.com.np/
great-wall-motors,https://www.meroauto.com/car_brand/great-wall-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2024/01/GMW.jpg&w=350&h=250,"Thapathali, Kathmandu","+977-01-5322630, 5322614",,info@vgimpex.com.np,https://gwm.com.np/
seres-ev,https://www.meroauto.com/car_brand/seres-ev/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/SERES-Logo.png&w=350&h=250,"Naxal, Kathmandu,Nepal",9802354148,,seres@mawnepal.com,www.seresnepal.com
build-your-dream,https://www.meroauto.com/car_brand/build-your-dream/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/09/BYD-Logo.jpg&w=350&h=250,"Narayanchaur Naxal, Kathmandu Nepal","01-5912037,01-5912038",,info@cimex.com.np,https://cimex.com.np/
citroen-shangrila,https://www.meroauto.com/car_brand/citroen-shangrila/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2023/10/Citroen-Logo.png&w=350&h=250,"Thapathali, Kathmandu","9801050700, 9801050500, 9801125884",,N/A,https://www.shangrilamotors.com.np
kia-motors,https://www.meroauto.com/car_brand/kia-motors/,https://www.meroauto.com/wp-content/themes/meroauto_custom_thm/inc/timthumb.php?src=https://www.meroauto.com/wp-content/uploads/2021/09/kia-logo.jpg&w=350&h=250,"Gairidhara, Kathmandu","977 1 4426465 (Hunting), 4426475",,N/A,www.kia.com.np
